pair,disadvantaged_strategy,eventual_winrate,n_events
S1_NeverPeek_vs_S1_NeverPeek,S1_NeverPeek,0.2330,1998
S1_NeverPeek_vs_S2_AlwaysPeek,S1_NeverPeek,0.3625,840
S1_NeverPeek_vs_S2_AlwaysPeek,S2_AlwaysPeek,0.0664,1159
S1_NeverPeek_vs_S3_MarginalPeek,S1_NeverPeek,0.2333,988
S1_NeverPeek_vs_S3_MarginalPeek,S3_MarginalPeek,0.2153,1010
S1_NeverPeek_vs_S4_BluffReveal,S1_NeverPeek,0.3074,893
S1_NeverPeek_vs_S4_BluffReveal,S4_BluffReveal,0.1820,1107
S1_NeverPeek_vs_S5_HonestValue,S1_NeverPeek,0.4731,706
S1_NeverPeek_vs_S5_HonestValue,S5_HonestValue,0.0925,1286
S1_NeverPeek_vs_S6_ShortStackPush,S1_NeverPeek,0.2352,995
S1_NeverPeek_vs_S6_ShortStackPush,S6_ShortStackPush,0.2333,1005
S1_NeverPeek_vs_S7_SignalReader,S1_NeverPeek,0.2302,995
S1_NeverPeek_vs_S7_SignalReader,S7_SignalReader,0.2321,1004
S1_NeverPeek_vs_S8_SignalBlind,S1_NeverPeek,0.2223,985
S1_NeverPeek_vs_S8_SignalBlind,S8_SignalBlind,0.2231,1013
S2_AlwaysPeek_vs_S2_AlwaysPeek,S2_AlwaysPeek,0.1480,2000
S2_AlwaysPeek_vs_S3_MarginalPeek,S2_AlwaysPeek,0.0720,1188
S2_AlwaysPeek_vs_S3_MarginalPeek,S3_MarginalPeek,0.3534,812
S2_AlwaysPeek_vs_S4_BluffReveal,S2_AlwaysPeek,0.1166,1008
S2_AlwaysPeek_vs_S4_BluffReveal,S4_BluffReveal,0.2893,992
S2_AlwaysPeek_vs_S5_HonestValue,S2_AlwaysPeek,0.1201,1082
S2_AlwaysPeek_vs_S5_HonestValue,S5_HonestValue,0.2704,917
S2_AlwaysPeek_vs_S6_ShortStackPush,S2_AlwaysPeek,0.0714,1183
S2_AlwaysPeek_vs_S6_ShortStackPush,S6_ShortStackPush,0.4009,817
S2_AlwaysPeek_vs_S7_SignalReader,S2_AlwaysPeek,0.0720,1174
S2_AlwaysPeek_vs_S7_SignalReader,S7_SignalReader,0.3456,826
S2_AlwaysPeek_vs_S8_SignalBlind,S2_AlwaysPeek,0.0816,1189
S2_AlwaysPeek_vs_S8_SignalBlind,S8_SignalBlind,0.3440,811
S3_MarginalPeek_vs_S3_MarginalPeek,S3_MarginalPeek,0.2217,1996
S3_MarginalPeek_vs_S4_BluffReveal,S3_MarginalPeek,0.3094,892
S3_MarginalPeek_vs_S4_BluffReveal,S4_BluffReveal,0.1847,1107
S3_MarginalPeek_vs_S5_HonestValue,S3_MarginalPeek,0.4187,713
S3_MarginalPeek_vs_S5_HonestValue,S5_HonestValue,0.1066,1280
S3_MarginalPeek_vs_S6_ShortStackPush,S3_MarginalPeek,0.2140,1028
S3_MarginalPeek_vs_S6_ShortStackPush,S6_ShortStackPush,0.2449,972
S3_MarginalPeek_vs_S7_SignalReader,S3_MarginalPeek,0.2159,991
S3_MarginalPeek_vs_S7_SignalReader,S7_SignalReader,0.2128,1008
S3_MarginalPeek_vs_S8_SignalBlind,S3_MarginalPeek,0.2071,997
S3_MarginalPeek_vs_S8_SignalBlind,S8_SignalBlind,0.2216,1002
S4_BluffReveal_vs_S4_BluffReveal,S4_BluffReveal,0.2462,2000
S4_BluffReveal_vs_S5_HonestValue,S4_BluffReveal,0.3203,879
S4_BluffReveal_vs_S5_HonestValue,S5_HonestValue,0.1850,1119
S4_BluffReveal_vs_S6_ShortStackPush,S4_BluffReveal,0.1671,1131
S4_BluffReveal_vs_S6_ShortStackPush,S6_ShortStackPush,0.3038,869
S4_BluffReveal_vs_S7_SignalReader,S4_BluffReveal,0.1723,1155
S4_BluffReveal_vs_S7_SignalReader,S7_SignalReader,0.2929,845
S4_BluffReveal_vs_S8_SignalBlind,S4_BluffReveal,0.1843,1164
S4_BluffReveal_vs_S8_SignalBlind,S8_SignalBlind,0.3102,835
S5_HonestValue_vs_S5_HonestValue,S5_HonestValue,0.2152,1966
S5_HonestValue_vs_S6_ShortStackPush,S5_HonestValue,0.0934,1328
S5_HonestValue_vs_S6_ShortStackPush,S6_ShortStackPush,0.4033,667
S5_HonestValue_vs_S7_SignalReader,S5_HonestValue,0.1002,1252
S5_HonestValue_vs_S7_SignalReader,S7_SignalReader,0.4357,739
S5_HonestValue_vs_S8_SignalBlind,S5_HonestValue,0.1090,1303
S5_HonestValue_vs_S8_SignalBlind,S8_SignalBlind,0.4335,692
S6_ShortStackPush_vs_S6_ShortStackPush,S6_ShortStackPush,0.2426,1999
S6_ShortStackPush_vs_S7_SignalReader,S6_ShortStackPush,0.2433,976
S6_ShortStackPush_vs_S7_SignalReader,S7_SignalReader,0.2304,1020
S6_ShortStackPush_vs_S8_SignalBlind,S6_ShortStackPush,0.2492,941
S6_ShortStackPush_vs_S8_SignalBlind,S8_SignalBlind,0.2101,1059
S7_SignalReader_vs_S7_SignalReader,S7_SignalReader,0.2385,2000
S7_SignalReader_vs_S8_SignalBlind,S7_SignalReader,0.2168,994
S7_SignalReader_vs_S8_SignalBlind,S8_SignalBlind,0.1990,1005
S8_SignalBlind_vs_S8_SignalBlind,S8_SignalBlind,0.2320,2000
