pair,avg_rounds,n_games
S1_NeverPeek_vs_S1_NeverPeek,13.56,2000
S1_NeverPeek_vs_S2_AlwaysPeek,11.64,2000
S1_NeverPeek_vs_S3_MarginalPeek,13.80,2000
S1_NeverPeek_vs_S4_BluffReveal,12.46,2000
S1_NeverPeek_vs_S5_HonestValue,15.03,2000
S1_NeverPeek_vs_S6_ShortStackPush,13.39,2000
S1_NeverPeek_vs_S7_SignalReader,13.43,2000
S1_NeverPeek_vs_S8_SignalBlind,13.75,2000
S1_NeverPeek_vs_S9_PotAwareBluff,11.15,2000
S2_AlwaysPeek_vs_S2_AlwaysPeek,10.45,2000
S2_AlwaysPeek_vs_S3_MarginalPeek,11.93,2000
S2_AlwaysPeek_vs_S4_BluffReveal,10.88,2000
S2_AlwaysPeek_vs_S5_HonestValue,13.00,2000
S2_AlwaysPeek_vs_S6_ShortStackPush,11.77,2000
S2_AlwaysPeek_vs_S7_SignalReader,11.59,2000
S2_AlwaysPeek_vs_S8_SignalBlind,11.78,2000
S2_AlwaysPeek_vs_S9_PotAwareBluff,10.12,2000
S3_MarginalPeek_vs_S3_MarginalPeek,13.62,2000
S3_MarginalPeek_vs_S4_BluffReveal,12.76,2000
S3_MarginalPeek_vs_S5_HonestValue,14.72,2000
S3_MarginalPeek_vs_S6_ShortStackPush,13.68,2000
S3_MarginalPeek_vs_S7_SignalReader,13.89,2000
S3_MarginalPeek_vs_S8_SignalBlind,13.88,2000
S3_MarginalPeek_vs_S9_PotAwareBluff,11.25,2000
S4_BluffReveal_vs_S4_BluffReveal,11.76,2000
S4_BluffReveal_vs_S5_HonestValue,13.86,2000
S4_BluffReveal_vs_S6_ShortStackPush,12.21,2000
S4_BluffReveal_vs_S7_SignalReader,12.65,2000
S4_BluffReveal_vs_S8_SignalBlind,12.59,2000
S4_BluffReveal_vs_S9_PotAwareBluff,10.59,2000
S5_HonestValue_vs_S5_HonestValue,16.61,2000
S5_HonestValue_vs_S6_ShortStackPush,14.61,2000
S5_HonestValue_vs_S7_SignalReader,14.84,2000
S5_HonestValue_vs_S8_SignalBlind,14.64,2000
S5_HonestValue_vs_S9_PotAwareBluff,12.18,2000
S6_ShortStackPush_vs_S6_ShortStackPush,13.89,2000
S6_ShortStackPush_vs_S7_SignalReader,13.73,2000
S6_ShortStackPush_vs_S8_SignalBlind,13.54,2000
S6_ShortStackPush_vs_S9_PotAwareBluff,10.88,2000
S7_SignalReader_vs_S7_SignalReader,13.69,2000
S7_SignalReader_vs_S8_SignalBlind,13.59,2000
S7_SignalReader_vs_S9_PotAwareBluff,11.03,2000
S8_SignalBlind_vs_S8_SignalBlind,13.89,2000
S8_SignalBlind_vs_S9_PotAwareBluff,11.10,2000
S9_PotAwareBluff_vs_S9_PotAwareBluff,10.07,2000
