pair,disadvantaged_strategy,eventual_winrate,n_events
S1_NeverPeek_vs_S1_NeverPeek,S1_NeverPeek,0.2472,2000
S1_NeverPeek_vs_S2_AlwaysPeek,S1_NeverPeek,0.3503,882
S1_NeverPeek_vs_S2_AlwaysPeek,S2_AlwaysPeek,0.1315,1118
S1_NeverPeek_vs_S3_MarginalPeek,S1_NeverPeek,0.2421,977
S1_NeverPeek_vs_S3_MarginalPeek,S3_MarginalPeek,0.2634,1023
S1_NeverPeek_vs_S4_BluffReveal,S1_NeverPeek,0.3043,884
S1_NeverPeek_vs_S4_BluffReveal,S4_BluffReveal,0.2079,1116
S1_NeverPeek_vs_S5_HonestValue,S1_NeverPeek,0.3395,760
S1_NeverPeek_vs_S5_HonestValue,S5_HonestValue,0.1798,1240
S1_NeverPeek_vs_S6_ShortStackPush,S1_NeverPeek,0.2628,995
S1_NeverPeek_vs_S6_ShortStackPush,S6_ShortStackPush,0.2791,1005
S1_NeverPeek_vs_S7_SignalReader,S1_NeverPeek,0.2374,1015
S1_NeverPeek_vs_S7_SignalReader,S7_SignalReader,0.2508,985
S1_NeverPeek_vs_S8_SignalBlind,S1_NeverPeek,0.2497,973
S1_NeverPeek_vs_S8_SignalBlind,S8_SignalBlind,0.2610,1027
S1_NeverPeek_vs_S9_PotAwareBluff,S1_NeverPeek,0.4422,882
S1_NeverPeek_vs_S9_PotAwareBluff,S9_PotAwareBluff,0.1163,1118
S2_AlwaysPeek_vs_S2_AlwaysPeek,S2_AlwaysPeek,0.2050,2000
S2_AlwaysPeek_vs_S3_MarginalPeek,S2_AlwaysPeek,0.1757,1138
S2_AlwaysPeek_vs_S3_MarginalPeek,S3_MarginalPeek,0.3422,862
S2_AlwaysPeek_vs_S4_BluffReveal,S2_AlwaysPeek,0.1768,990
S2_AlwaysPeek_vs_S4_BluffReveal,S4_BluffReveal,0.2891,1010
S2_AlwaysPeek_vs_S5_HonestValue,S2_AlwaysPeek,0.2255,1049
S2_AlwaysPeek_vs_S5_HonestValue,S5_HonestValue,0.2787,951
S2_AlwaysPeek_vs_S6_ShortStackPush,S2_AlwaysPeek,0.1568,1154
S2_AlwaysPeek_vs_S6_ShortStackPush,S6_ShortStackPush,0.3511,846
S2_AlwaysPeek_vs_S7_SignalReader,S2_AlwaysPeek,0.1514,1156
S2_AlwaysPeek_vs_S7_SignalReader,S7_SignalReader,0.2974,844
S2_AlwaysPeek_vs_S8_SignalBlind,S2_AlwaysPeek,0.1401,1146
S2_AlwaysPeek_vs_S8_SignalBlind,S8_SignalBlind,0.3103,854
S2_AlwaysPeek_vs_S9_PotAwareBluff,S2_AlwaysPeek,0.2666,964
S2_AlwaysPeek_vs_S9_PotAwareBluff,S9_PotAwareBluff,0.1834,1036
S3_MarginalPeek_vs_S3_MarginalPeek,S3_MarginalPeek,0.2665,2000
S3_MarginalPeek_vs_S4_BluffReveal,S3_MarginalPeek,0.3172,911
S3_MarginalPeek_vs_S4_BluffReveal,S4_BluffReveal,0.2080,1089
S3_MarginalPeek_vs_S5_HonestValue,S3_MarginalPeek,0.3146,766
S3_MarginalPeek_vs_S5_HonestValue,S5_HonestValue,0.1994,1234
S3_MarginalPeek_vs_S6_ShortStackPush,S3_MarginalPeek,0.2401,1031
S3_MarginalPeek_vs_S6_ShortStackPush,S6_ShortStackPush,0.2843,969
S3_MarginalPeek_vs_S7_SignalReader,S3_MarginalPeek,0.2799,1004
S3_MarginalPeek_vs_S7_SignalReader,S7_SignalReader,0.2575,996
S3_MarginalPeek_vs_S8_SignalBlind,S3_MarginalPeek,0.2356,993
S3_MarginalPeek_vs_S8_SignalBlind,S8_SignalBlind,0.2651,1007
S3_MarginalPeek_vs_S9_PotAwareBluff,S3_MarginalPeek,0.4575,835
S3_MarginalPeek_vs_S9_PotAwareBluff,S9_PotAwareBluff,0.1176,1165
S4_BluffReveal_vs_S4_BluffReveal,S4_BluffReveal,0.2565,2000
S4_BluffReveal_vs_S5_HonestValue,S4_BluffReveal,0.2567,892
S4_BluffReveal_vs_S5_HonestValue,S5_HonestValue,0.2446,1108
S4_BluffReveal_vs_S6_ShortStackPush,S4_BluffReveal,0.2081,1115
S4_BluffReveal_vs_S6_ShortStackPush,S6_ShortStackPush,0.3232,885
S4_BluffReveal_vs_S7_SignalReader,S4_BluffReveal,0.1956,1145
S4_BluffReveal_vs_S7_SignalReader,S7_SignalReader,0.3018,855
S4_BluffReveal_vs_S8_SignalBlind,S4_BluffReveal,0.2130,1150
S4_BluffReveal_vs_S8_SignalBlind,S8_SignalBlind,0.3059,850
S4_BluffReveal_vs_S9_PotAwareBluff,S4_BluffReveal,0.3418,945
S4_BluffReveal_vs_S9_PotAwareBluff,S9_PotAwareBluff,0.1592,1055
S5_HonestValue_vs_S5_HonestValue,S5_HonestValue,0.2612,2000
S5_HonestValue_vs_S6_ShortStackPush,S5_HonestValue,0.2025,1279
S5_HonestValue_vs_S6_ShortStackPush,S6_ShortStackPush,0.3509,721
S5_HonestValue_vs_S7_SignalReader,S5_HonestValue,0.1981,1204
S5_HonestValue_vs_S7_SignalReader,S7_SignalReader,0.3423,796
S5_HonestValue_vs_S8_SignalBlind,S5_HonestValue,0.1661,1255
S5_HonestValue_vs_S8_SignalBlind,S8_SignalBlind,0.3570,745
S5_HonestValue_vs_S9_PotAwareBluff,S5_HonestValue,0.3984,984
S5_HonestValue_vs_S9_PotAwareBluff,S9_PotAwareBluff,0.1299,1016
S6_ShortStackPush_vs_S6_ShortStackPush,S6_ShortStackPush,0.2875,2000
S6_ShortStackPush_vs_S7_SignalReader,S6_ShortStackPush,0.2635,983
S6_ShortStackPush_vs_S7_SignalReader,S7_SignalReader,0.2522,1017
S6_ShortStackPush_vs_S8_SignalBlind,S6_ShortStackPush,0.2784,959
S6_ShortStackPush_vs_S8_SignalBlind,S8_SignalBlind,0.2440,1041
S6_ShortStackPush_vs_S9_PotAwareBluff,S6_ShortStackPush,0.4727,861
S6_ShortStackPush_vs_S9_PotAwareBluff,S9_PotAwareBluff,0.1010,1139
S7_SignalReader_vs_S7_SignalReader,S7_SignalReader,0.2637,2000
S7_SignalReader_vs_S8_SignalBlind,S7_SignalReader,0.2378,986
S7_SignalReader_vs_S8_SignalBlind,S8_SignalBlind,0.2771,1014
S7_SignalReader_vs_S9_PotAwareBluff,S7_SignalReader,0.4348,821
S7_SignalReader_vs_S9_PotAwareBluff,S9_PotAwareBluff,0.1043,1179
S8_SignalBlind_vs_S8_SignalBlind,S8_SignalBlind,0.2640,2000
S8_SignalBlind_vs_S9_PotAwareBluff,S8_SignalBlind,0.4627,858
S8_SignalBlind_vs_S9_PotAwareBluff,S9_PotAwareBluff,0.0963,1142
