lambda,tau_name,tau,A1_pass,A2_pass,A3_pass,B1_pass,all_pass,curve_r1,curve_r2,curve_r3,curve_r4,curve_r5,curve_r6,top1_hit_rate_r6,b1_diff,b1_ci_lo,b1_ci_hi,b1_rel_pct,b1_mean_consistent,b1_mean_random,time_a_s,time_b_s,time_c_s
0.5,small,0.5,False,False,True,True,False,174.0,91.0,42.0,11.0,7.0,4.0,0.554,13.76,13.344,14.176,138.79,23.674,9.914,76.75,157.32,83.36
0.5,mid,2.0,True,False,False,True,False,583.0,321.0,164.0,70.0,44.0,27.0,0.23,11.787,11.391,12.183,119.17,21.677,9.89,76.48,157.66,80.4
0.5,large,6.0,True,True,False,True,False,715.0,473.0,285.0,172.0,105.0,63.0,0.1255,9.81,9.425,10.194,95.55,20.076,10.266,76.81,157.11,84.56
0.65,small,0.5,False,False,True,True,False,193.0,93.0,35.0,10.0,6.0,3.0,0.5985,12.994,12.591,13.396,142.25,22.128,9.134,77.09,157.44,80.43
0.65,mid,2.0,True,False,False,True,False,627.0,332.0,156.0,73.0,44.5,25.0,0.2465,11.434,11.033,11.835,117.86,21.135,9.701,76.84,157.98,82.34
0.65,large,6.0,True,True,False,True,False,756.0,481.0,279.0,167.0,100.0,58.0,0.131,10.024,9.642,10.406,101.03,19.946,9.922,75.73,153.04,78.92
0.8,small,0.5,False,False,True,True,False,202.0,97.0,32.0,10.0,6.0,3.0,0.666,12.05,11.658,12.442,137.55,20.811,8.761,75.17,157.48,82.15
0.8,mid,2.0,False,False,False,True,False,618.5,327.0,133.0,65.0,40.0,20.0,0.277,11.132,10.747,11.517,123.05,20.178,9.046,74.88,152.92,77.75
0.8,large,6.0,True,True,False,True,False,770.0,516.0,286.0,180.0,110.0,59.0,0.131,9.742,9.359,10.124,98.69,19.613,9.871,73.31,154.03,83.19
0.9,small,0.5,False,False,True,True,False,194.0,94.0,33.0,10.0,6.0,3.0,0.6315,11.591,11.2,11.982,130.6,20.466,8.875,76.24,152.75,81.25
0.9,mid,2.0,False,False,False,True,False,618.0,326.0,124.0,63.0,38.0,19.0,0.2705,10.645,10.267,11.023,117.52,19.703,9.058,74.79,151.03,78.2
0.9,large,6.0,True,True,False,True,False,770.0,502.0,265.0,170.0,101.0,55.0,0.134,9.741,9.367,10.115,101.0,19.386,9.645,71.7,148.07,77.55
1.0,small,0.5,False,False,True,True,False,193.0,99.0,34.0,10.0,6.0,3.0,0.6415,11.323,10.943,11.703,133.61,19.797,8.475,71.82,148.45,78.31
1.0,mid,2.0,False,False,False,True,False,631.0,334.0,125.5,65.0,39.0,18.0,0.252,10.367,9.992,10.742,117.1,19.22,8.853,71.86,147.59,77.82
1.0,large,6.0,True,True,False,True,False,784.0,512.0,267.0,170.0,99.0,55.0,0.1415,9.688,9.311,10.064,102.13,19.172,9.485,74.91,154.33,83.25
