lambda,tau_name,tau,A1_pass,A2_pass,A3prime_pass,B1_pass,D_pass,all_pass,curve_r1,curve_r2,curve_r3,curve_r4,curve_r5,curve_r6,hit_curve,a3prime_avg_r56,a3prime_avg_r12,a3prime_delta,pct_mean,pct_median,top1_hit_rate_r6,b1_diff,b1_ci_lo,b1_ci_hi,b1_rel_pct,b1_mean_consistent,b1_mean_random,b1_reused_from_v1,time_ad_s,time_b_s
0.5,2.5,2.5,True,True,False,True,False,False,661.0,375.5,200.5,95.0,61.0,36.0,"[0.3155, 0.3685, 0.4075, 0.427, 0.4325, 0.4715]",0.452,0.342,0.11,57.56,57.0,0.2035,11.418,11.017,11.819,113.44,21.483,10.066,False,79.92,157.25
0.5,3.5,3.5,True,True,False,True,False,False,692.0,423.5,240.0,127.0,74.0,47.0,"[0.329, 0.372, 0.384, 0.399, 0.412, 0.439]",0.425,0.351,0.075,53.45,54.0,0.1575,10.998,10.603,11.392,110.85,20.919,9.921,False,76.53,159.3
0.5,4.5,4.5,True,True,False,True,False,False,703.0,450.0,272.0,154.0,94.0,55.0,"[0.319, 0.3465, 0.3675, 0.378, 0.386, 0.4135]",0.4,0.333,0.067,50.98,51.0,0.147,10.896,10.505,11.288,109.97,20.805,9.909,False,77.34,159.54
0.5,6.0,6.0,True,True,False,True,False,False,715.0,473.0,285.0,172.0,105.0,63.0,"[0.3275, 0.3475, 0.34, 0.3645, 0.3615, 0.3605]",0.361,0.338,0.023,48.57,49.0,0.1255,9.81,9.425,10.194,95.55,20.076,10.266,True,75.97,0.0
0.8,2.5,2.5,True,False,False,True,False,False,702.5,398.0,168.0,92.0,55.0,28.0,"[0.5105, 0.517, 0.505, 0.5305, 0.539, 0.547]",0.543,0.514,0.029,58.55,59.0,0.2135,10.625,10.245,11.005,113.15,20.015,9.39,False,78.24,160.73
0.8,3.5,3.5,True,True,False,True,False,False,756.0,466.0,225.0,130.0,76.0,41.0,"[0.4745, 0.4855, 0.468, 0.4855, 0.4965, 0.484]",0.49,0.48,0.01,55.0,55.0,0.1555,10.447,10.069,10.826,110.68,19.887,9.44,False,77.15,159.55
0.8,4.5,4.5,True,True,False,True,False,False,770.0,493.0,245.0,149.0,91.0,48.0,"[0.4475, 0.446, 0.459, 0.4585, 0.4595, 0.455]",0.457,0.447,0.011,53.17,53.0,0.1555,9.75,9.351,10.149,99.12,19.587,9.836,False,79.9,158.35
0.8,6.0,6.0,True,True,False,True,False,False,770.0,493.5,273.0,176.5,101.5,57.0,"[0.4135, 0.412, 0.4225, 0.4295, 0.4435, 0.421]",0.432,0.413,0.02,50.86,51.0,0.1335,9.742,9.359,10.124,98.69,19.613,9.871,True,75.78,0.0
1.0,2.5,2.5,True,False,False,True,False,False,711.5,393.0,152.0,84.0,51.0,24.0,"[0.583, 0.587, 0.5815, 0.612, 0.615, 0.616]",0.615,0.585,0.03,58.22,58.0,0.229,10.095,9.712,10.478,110.45,19.235,9.139,False,75.99,159.67
1.0,3.5,3.5,True,True,False,True,False,False,774.5,462.0,201.5,123.0,73.0,37.0,"[0.533, 0.5175, 0.5365, 0.5575, 0.553, 0.5725]",0.563,0.525,0.038,55.59,56.0,0.193,10.217,9.845,10.59,112.45,19.304,9.086,False,75.39,154.24
1.0,4.5,4.5,True,True,False,True,False,False,785.0,497.0,236.0,150.0,86.0,46.0,"[0.503, 0.4855, 0.4945, 0.517, 0.5115, 0.5105]",0.511,0.494,0.017,53.23,53.0,0.165,9.845,9.483,10.208,108.78,18.896,9.051,False,74.27,156.54
1.0,6.0,6.0,True,True,False,True,False,False,784.0,517.0,270.0,174.0,103.0,54.0,"[0.4495, 0.4635, 0.474, 0.4705, 0.479, 0.487]",0.483,0.457,0.026,51.39,52.0,0.156,9.688,9.311,10.064,102.13,19.172,9.485,True,76.08,0.0
